Timestamp,Input_RPM,Output_RPM,Difference_%
13:59:25.981479,0.0,0.0,0
13:59:26.180648,0.0,0.0,0
13:59:26.372483,0.0,0.0,0
13:59:26.558726,0.0,0.0,0
13:59:26.750354,0.0,0.0,0
13:59:26.944949,0.0,0.0,0
13:59:27.182190,0.0,0.0,0
13:59:27.374542,0.0,0.0,0
13:59:27.565671,0.0,0.0,0
13:59:27.748123,0.0,0.0,0
13:59:27.934575,0.0,0.0,0
13:59:28.193257,0.0,0.0,0
13:59:28.385199,0.42,0.5,-19.04761904761905
13:59:28.579612,2.94,3.5,-19.04761904761905
13:59:28.769674,12.18,15.5,-27.25779967159278
13:59:28.962038,13.02,15.0,-15.207373271889404
13:59:29.154247,8.82,10.0,-13.378684807256233
13:59:29.347117,3.78,4.0,-5.820105820105825
13:59:29.540445,11.34,10.5,7.407407407407406
13:59:29.797142,33.18,27.5,17.118746232670283
13:59:29.988278,43.26,40.0,7.535829865926949
13:59:30.164919,44.1,54.5,-23.582766439909292
13:59:30.359081,39.9,38.0,4.761904761904758
13:59:30.552113,13.02,11.0,15.514592933947771
13:59:30.743623,6.3,4.5,28.57142857142857
13:59:31.000938,28.14,25.0,11.158493248045488
13:59:31.194202,36.12,41.0,-13.510520487264682
13:59:31.385167,36.96,44.0,-19.047619047619044
13:59:31.577476,47.46,40.5,14.664981036662454
13:59:31.769666,45.36,43.0,5.2028218694885355
13:59:31.962127,35.7,45.0,-26.050420168067216
13:59:32.156667,33.18,34.0,-2.471368294153105
13:59:32.348043,23.52,19.5,17.091836734693878
13:59:32.540850,25.2,22.0,12.698412698412694
13:59:32.797922,38.22,41.0,-7.273678702250135
13:59:32.992109,37.8,46.5,-23.015873015873026
13:59:33.183003,34.86,32.5,6.769936890418816
13:59:33.375636,27.72,22.5,18.831168831168828
13:59:33.568904,28.14,26.0,7.604832977967309
13:59:33.743677,39.48,48.5,-22.847011144883496
13:59:34.001135,40.32,42.0,-4.166666666666666
13:59:34.193688,31.5,26.0,17.46031746031746
13:59:34.387131,43.26,41.5,4.06842348589921
13:59:34.580326,39.48,49.5,-25.379939209726455
13:59:34.770626,33.18,33.5,-0.964436407474383
13:59:34.965716,29.82,24.0,19.517102615694164
13:59:35.158936,34.86,31.5,9.638554216867469
13:59:35.350719,45.36,55.5,-22.354497354497354
13:59:35.593577,44.52,44.5,0.04492362982929722
13:59:35.786793,36.96,31.0,16.125541125541126
13:59:35.977702,44.94,48.5,-7.9216733422340955
13:59:36.170752,47.88,55.0,-14.870509607351707
13:59:36.364385,53.76,44.5,17.22470238095238
13:59:36.555798,57.54,65.5,-13.83385470976712
13:59:36.747345,55.44,56.5,-1.911976911976916
13:59:37.004374,45.78,38.5,15.902140672782878
13:59:37.196926,40.74,47.5,-16.59302896416298
13:59:37.389535,36.12,41.5,-14.894795127353275
13:59:37.581763,24.36,21.0,13.79310344827586
13:59:37.774978,3.78,2.0,47.08994708994709
13:59:37.966659,0.84,0.5,40.476190476190474
13:59:38.158762,0.84,0.0,100.0
13:59:38.352930,0.0,0.0,0
13:59:38.608163,0.0,0.5,0
13:59:38.801317,0.0,0.0,0
13:59:38.992578,0.0,0.0,0
13:59:39.183989,0.0,0.0,0
13:59:39.375186,0.0,0.0,0
13:59:39.567252,0.0,0.0,0
13:59:39.758484,0.0,0.0,0
13:59:39.995627,0.0,0.0,0
13:59:40.189059,0.0,0.0,0
13:59:40.379938,0.0,0.0,0
