Timestamp,Input_RPM,Output_RPM,Difference_%
16:17:47.593382,100.0,-2.0,102.0
16:17:47.715564,100.0,-1.0,101.0
16:17:47.779046,100.0,3.0,97.0
16:17:47.911714,100.0,2.0,98.0
16:17:47.975993,100.0,-3.0,103.0
16:17:48.103500,100.0,0.0,100.0
16:17:48.212964,100.0,-10.0,110.00000000000001
16:17:48.280113,100.0,-6.0,106.0
16:17:48.412735,100.0,16.0,84.0
16:17:48.477970,100.0,-30.0,130.0
16:17:48.605309,100.0,-11.0,111.00000000000001
16:17:48.731196,100.0,12.0,88.0
16:17:48.793400,100.0,3.0,97.0
16:17:48.932791,100.0,1.0,99.0
16:17:48.996807,100.0,-1.0,101.0
16:17:49.132144,100.0,1.0,99.0
16:17:49.194021,100.0,-1.0,101.0
16:17:49.313784,100.0,-3.0,103.0
16:17:49.379343,100.0,1.0,99.0
16:17:49.498020,100.0,0.0,100.0
16:17:49.630539,100.0,0.0,100.0
16:17:49.694425,100.0,0.0,100.0
16:17:49.822047,100.0,-2.0,102.0
16:17:49.887033,100.0,1.0,99.0
16:17:50.014602,100.0,1.0,99.0
16:17:50.080354,100.0,2.0,98.0
16:17:50.205362,100.0,2.0,98.0
16:17:50.331545,100.0,0.0,100.0
16:17:50.397890,100.0,-2.0,102.0
16:17:50.524332,100.0,-3.0,103.0
16:17:50.587826,100.0,1.0,99.0
16:17:50.716261,100.0,1.0,99.0
16:17:50.780371,100.0,-3.0,103.0
16:17:50.907746,100.0,-6.0,106.0
16:17:51.036036,100.0,-5.0,105.0
16:17:51.101131,100.0,3.0,97.0
16:17:51.227858,100.0,12.0,88.0
16:17:51.339788,100.0,0.0,100.0
16:17:51.401408,100.0,24.0,76.0
16:17:51.526293,100.0,-5.0,105.0
16:17:51.590902,100.0,0.0,100.0
16:17:51.716698,100.0,-4.0,104.0
16:17:51.781317,100.0,-8.0,108.0
16:17:51.908421,100.0,2.0,98.0
16:17:52.036417,100.0,12.0,88.0
16:17:52.100816,100.0,7.0,93.0
16:17:52.227660,100.0,-11.0,111.00000000000001
16:17:52.290575,100.0,-8.0,108.0
16:17:52.418263,100.0,2.0,98.0
16:17:52.481834,100.0,11.0,89.0
16:17:52.610686,100.0,8.0,92.0
16:17:52.738572,100.0,-8.0,108.0
16:17:52.802948,100.0,0.0,100.0
16:17:52.930496,100.0,11.0,89.0
16:17:53.042170,100.0,-2.0,102.0
16:17:53.107327,100.0,-4.0,104.0
16:17:53.234450,100.0,-2.0,102.0
