Timestamp,Input_RPM,Output_RPM,Difference_%
16:24:23.885714,0.0,0.0,0
16:24:24.077147,0.0,0.0,0
16:24:24.269296,0.0,0.0,0
16:24:24.464572,0.0,0.0,0
16:24:24.648241,1.26,0.0,100.0
16:24:24.842499,10.92,8.5,22.16117216117216
16:24:25.088905,21.0,13.5,35.714285714285715
16:24:25.300031,28.14,18.5,34.25728500355366
16:24:25.481497,34.02,35.0,-2.8806584362139827
16:24:25.666721,36.96,54.0,-46.103896103896105
16:24:25.865768,34.86,32.5,6.769936890418816
16:24:26.060298,38.22,26.0,31.972789115646254
16:24:26.250601,35.7,34.5,3.3613445378151336
16:24:26.444978,34.86,53.0,-52.03671830177855
16:24:26.699494,34.02,32.0,5.937683715461501
16:24:26.896168,34.86,22.0,36.89041881812966
16:24:27.092566,47.46,44.0,7.290349768225876
16:24:27.287881,54.6,73.5,-34.61538461538461
16:24:27.466705,61.32,43.0,29.876060013046313
16:24:27.658310,53.34,67.5,-26.546681664791894
16:24:27.848782,42.84,46.5,-8.54341736694677
16:24:28.047083,31.92,20.5,35.77694235588973
16:24:28.243768,42.0,33.5,20.238095238095237
16:24:28.442540,52.5,73.5,-40.0
16:24:28.686039,57.96,45.5,21.497584541062803
16:24:28.871116,60.06,63.5,-5.727605727605724
16:24:29.063612,46.2,57.5,-24.45887445887445
16:24:29.250115,37.38,24.5,34.45692883895132
16:24:29.443621,45.36,37.0,18.430335097001763
16:24:29.700895,55.02,76.5,-39.04034896401308
16:24:29.894976,63.0,46.0,26.984126984126984
16:24:30.073924,55.86,66.0,-18.15252416756176
16:24:30.268989,36.54,45.5,-24.52107279693487
16:24:30.461908,29.82,21.0,29.577464788732392
16:24:30.658411,38.22,26.0,31.972789115646254
16:24:30.848143,57.54,75.5,-31.21306916927355
16:24:31.092471,69.3,58.0,16.305916305916302
16:24:31.288155,62.16,68.0,-9.395109395109401
16:24:31.485236,39.06,49.0,-25.448028673835115
16:24:31.677268,36.12,24.5,32.17054263565891
16:24:31.871814,44.94,33.5,25.456163773920782
16:24:32.067935,53.34,74.5,-39.670041244844384
16:24:32.261793,54.18,43.5,19.712070874861574
16:24:32.457108,55.86,51.0,8.70032223415682
16:24:32.651377,45.78,64.5,-40.89121887287025
16:24:32.906297,39.9,29.5,26.065162907268167
16:24:33.086864,53.34,41.0,23.134608173978258
16:24:33.283086,52.92,75.0,-41.72335600907029
16:24:33.477961,54.6,41.0,24.908424908424912
16:24:33.674582,60.06,63.5,-5.727605727605724
16:24:33.866840,45.78,57.5,-25.600698995194403
16:24:34.059738,39.48,26.0,34.143870314083074
16:24:34.253216,47.46,39.5,16.77201854193005
16:24:34.495200,52.5,74.0,-40.95238095238095
16:24:34.687984,50.4,37.0,26.58730158730159
16:24:34.882986,57.54,58.5,-1.6684045881126188
16:24:35.077542,41.16,56.0,-36.05442176870749
16:24:35.271307,35.28,25.5,27.721088435374153
16:24:35.514590,39.9,27.0,32.33082706766917
16:24:35.711956,48.3,64.5,-33.540372670807464
16:24:35.913168,46.2,48.5,-4.9783549783549725
16:24:36.104299,28.98,19.0,34.437543133195305
16:24:36.300185,30.66,24.5,20.091324200913245
16:24:36.491693,24.36,31.5,-29.31034482758621
16:24:36.671506,13.44,21.5,-59.9702380952381
16:24:36.861136,13.86,20.5,-47.90764790764791
16:24:37.117593,12.18,13.5,-10.837438423645322
16:24:37.312090,13.44,11.5,14.434523809523805
16:24:37.504585,16.8,12.0,28.571428571428577
16:24:37.696027,6.72,4.0,40.476190476190474
16:24:37.888037,13.44,8.5,36.75595238095238
16:24:38.079057,23.94,16.0,33.166248955722644
16:24:38.272192,38.64,45.5,-17.753623188405797
16:24:38.465620,47.88,61.5,-28.446115288220547
16:24:38.658579,47.04,32.5,30.90986394557823
16:24:38.902136,45.78,46.5,-1.5727391874180838
16:24:39.095668,35.28,53.0,-50.2267573696145
16:24:39.284880,34.02,28.5,16.2257495590829
16:24:39.469402,35.7,22.0,38.37535014005603
16:24:39.663522,46.2,47.5,-2.813852813852807
16:24:39.900464,52.5,68.5,-30.476190476190478
16:24:40.093561,56.28,39.5,29.815209665955937
16:24:40.288675,51.24,63.0,-22.950819672131143
16:24:40.479497,41.58,48.5,-16.642616642616648
16:24:40.669418,36.12,23.0,36.32336655592469
16:24:40.925494,38.64,29.0,24.94824016563147
16:24:41.118707,42.0,60.0,-42.857142857142854
16:24:41.309842,42.84,43.5,-1.5406162464985913
16:24:41.506869,41.58,28.5,31.457431457431458
16:24:41.698751,39.9,42.5,-6.516290726817046
16:24:41.886240,30.24,46.5,-53.76984126984128
16:24:42.081375,29.4,27.5,6.4625850340136015
16:24:42.274103,28.14,18.0,36.03411513859275
16:24:42.475378,33.6,23.5,30.059523809523814
16:24:42.727607,44.52,59.0,-32.5247079964061
16:24:42.926267,54.6,57.0,-4.395604395604393
16:24:43.121866,55.44,41.0,26.046176046176043
16:24:43.315733,43.68,62.5,-43.08608058608059
16:24:43.497139,38.22,38.5,-0.7326007326007357
16:24:43.693252,33.18,21.0,36.708860759493675
