Timestamp,Input_RPM,Output_RPM,Difference_%
12:59:52.791221,100.0,0.0,100.0
12:59:52.919084,100.0,0.0,100.0
12:59:52.983056,100.0,0.0,100.0
12:59:53.111745,100.0,0.0,100.0
12:59:53.175904,100.0,0.0,100.0
12:59:53.287158,100.0,0.0,100.0
12:59:53.417688,100.0,0.0,100.0
12:59:53.486610,100.0,0.0,100.0
12:59:53.612707,100.0,0.0,100.0
12:59:53.677590,100.0,0.0,100.0
12:59:53.805669,100.0,0.0,100.0
12:59:53.865882,100.0,0.0,100.0
12:59:54.001423,100.0,0.0,100.0
12:59:54.068358,100.0,0.0,100.0
12:59:54.200633,100.0,0.0,100.0
12:59:54.268429,100.0,0.0,100.0
12:59:54.402514,100.0,0.0,100.0
12:59:54.467197,100.0,0.0,100.0
12:59:54.584300,100.0,0.0,100.0
12:59:54.715947,100.0,0.0,100.0
12:59:54.780316,100.0,0.0,100.0
12:59:54.907585,100.0,0.0,100.0
12:59:54.970911,100.0,0.0,100.0
12:59:55.099823,100.0,0.0,100.0
12:59:55.163467,100.0,0.0,100.0
12:59:55.293046,100.0,0.0,100.0
12:59:55.420261,100.0,0.0,100.0
12:59:55.486414,100.0,0.0,100.0
12:59:55.613397,100.0,0.0,100.0
12:59:55.676283,100.0,0.0,100.0
12:59:55.805406,100.0,0.0,100.0
12:59:55.870485,100.0,0.0,100.0
12:59:55.997843,100.0,0.0,100.0
12:59:56.125554,100.0,0.0,100.0
12:59:56.189215,100.0,0.0,100.0
12:59:56.315964,100.0,0.0,100.0
12:59:56.380313,100.0,0.0,100.0
12:59:56.507687,100.0,0.0,100.0
12:59:56.572381,100.0,0.0,100.0
12:59:56.698548,100.0,0.0,100.0
12:59:56.826466,100.0,0.0,100.0
12:59:56.892119,100.0,0.0,100.0
12:59:57.019407,100.0,0.0,100.0
12:59:57.084632,100.0,0.0,100.0
12:59:57.211554,100.0,0.0,100.0
12:59:57.275251,100.0,0.0,100.0
12:59:57.404841,100.0,0.0,100.0
12:59:57.468670,100.0,0.0,100.0
12:59:57.596178,100.0,0.0,100.0
12:59:57.724312,100.0,0.0,100.0
12:59:57.787978,100.0,0.0,100.0
12:59:57.915327,100.0,0.0,100.0
12:59:57.979417,100.0,0.0,100.0
12:59:58.107510,100.0,0.0,100.0
12:59:58.172046,100.0,0.0,100.0
12:59:58.299484,100.0,0.0,100.0
12:59:58.429085,100.0,0.0,100.0
12:59:58.493567,100.0,0.0,100.0
12:59:58.620944,100.0,0.0,100.0
12:59:58.684679,100.0,0.0,100.0
12:59:58.814034,100.0,0.0,100.0
12:59:58.875851,100.0,0.0,100.0
12:59:58.988194,100.0,0.0,100.0
